School ID,State,Geographic School District,Children 5-17 (SAIPE Estimate),% Poverty (SAIPE Estimate),% Single Parent Estimate,Single Parent Margin of Error,% HHs With Vulnerable Job Estimate,Vulnerable Job Margin of Error,% Crowded Conditions Estimate,HH With Crowded Conditions Margin of Error,% No Computer or Internet Estimate,No Computer or Internet Margin of Error,% Children with Disability,Children with Disability Margin of Error,% Linguistically Isolated Children,Linguistically Isolated Children Margin of Error
00001,Alabama,Fort Rucker School District,985,12%,5%,0%-10%,33%,20%-46%,3%,0%-8%,2%,0%-5%,3%,0%-6%,0%,0%-3%
00003,Alabama,Maxwell AFB School District,292,15%,10%,3%-17%,31%,4%-57%,1%,0%-10%,1%,0%-6%,5%,2%-9%,0%,0%-8%
00005,Alabama,Albertville City School District,4591,30%,35%,26%-44%,33%,28%-37%,5%,3%-7%,22%,13%-32%,2%,0%-3%,17%,10%-24%
00006,Alabama,Marshall County School District,8299,27%,30%,24%-35%,23%,21%-26%,3%,2%-3%,14%,11%-18%,4%,3%-6%,4%,1%-7%
00007,Alabama,Hoover City School District,"15,397",7%,21%,17%-25%,29%,27%-31%,2%,1%-2%,3%,1%-5%,4%,2%-5%,4%,1%-8%
00008,Alabama,Madison City School District,9416,8%,18%,12%-23%,21%,19%-23%,2%,1%-3%,10%,6%-15%,6%,4%-8%,0%,0%-1%
00011,Alabama,Leeds City School District,2324,17%,27%,14%-41%,30%,25%-36%,3%,1%-5%,24%,13%-35%,8%,3%-13%,0%,0%-2%
00012,Alabama,Boaz City School District,1644,25%,40%,20%-60%,30%,25%-36%,1%,0%-3%,11%,3%-20%,6%,2%-11%,7%,1%-12%
00013,Alabama,Trussville City School District,4476,7%,23%,15%-31%,26%,22%-29%,1%,0%-2%,4%,1%-7%,3%,1%-4%,0%,0%-1%
00030,Alabama,Alexander City City School District,3064,37%,50%,39%-62%,23%,19%-28%,4%,2%-6%,18%,10%-26%,5%,3%-8%,3%,0%-6%
00060,Alabama,Andalusia City School District,1425,31%,58%,50%-66%,27%,21%-33%,2%,0%-4%,9%,4%-15%,15%,8%-23%,0%,0%-2%
00090,Alabama,Anniston City School District,3008,38%,54%,46%-61%,26%,22%-30%,1%,0%-2%,27%,20%-34%,9%,6%-13%,0%,0%-1%
00100,Alabama,Arab City School District,1454,18%,33%,29%-37%,28%,26%-31%,1%,0%-1%,9%,6%-12%,6%,4%-7%,1%,0%-3%
00120,Alabama,Athens City School District,3824,18%,34%,25%-42%,33%,29%-37%,2%,1%-2%,15%,9%-21%,9%,4%-15%,5%,1%-8%
00180,Alabama,Attalla City School District,1144,26%,46%,22%-70%,31%,21%-41%,4%,0%-8%,12%,2%-22%,17%,6%-27%,0%,0%-3%
00185,Alabama,Saraland City School District,2728,20%,33%,23%-43%,26%,21%-30%,2%,1%-4%,8%,3%-12%,4%,1%-7%,0%,0%-1%
00188,Alabama,Chickasaw City School District,1350,41%,64%,53%-74%,34%,28%-39%,4%,2%-6%,30%,19%-41%,4%,1%-6%,0%,0%-3%
00189,Alabama,Satsuma City School District,922,22%,22%,9%-35%,19%,13%-26%,0%,0%-2%,13%,2%-24%,5%,0%-9%,0%,0%-4%
00190,Alabama,Alabaster City School District,6469,12%,22%,16%-28%,31%,28%-34%,2%,1%-3%,5%,2%-9%,6%,3%-9%,3%,1%-6%
00194,Alabama,Pelham City School District,4044,8%,27%,19%-35%,30%,27%-34%,1%,0%-2%,11%,5%-16%,4%,2%-6%,5%,0%-10%
00195,Alabama,Pike Road City School District,1813,7%,18%,8%-29%,20%,16%-24%,0%,0%-1%,4%,0%-7%,4%,1%-8%,2%,0%-4%
00210,Alabama,Auburn City School District,8277,12%,28%,22%-35%,29%,26%-31%,3%,2%-4%,7%,4%-10%,5%,3%-7%,4%,2%-7%
00240,Alabama,Autauga County School District,"10,106",19%,26%,21%-31%,26%,24%-28%,1%,1%-2%,9%,6%-11%,12%,9%-15%,0%,0%-1%
00270,Alabama,Baldwin County School District,"33,982",13%,27%,24%-30%,32%,30%-33%,1%,1%-2%,10%,8%-12%,5%,3%-6%,1%,0%-2%
00300,Alabama,Barbour County School District,1698,38%,46%,36%-55%,21%,17%-25%,6%,3%-10%,52%,37%-67%,15%,8%-21%,5%,0%-10%
